id|year|code|url|title|type|type_id|location|location_id
148|2021|2021-overview|/okeanos/explorations/2021-overview/welcome.html|NOAA Ship <em>Okeanos Explorer</em>: 2021 Expeditions Overview|Okeanos|1|Atlantic|4
147|2020|20benthic-communities|/explorations/20benthic-communities/welcome.html|Mineral-Rich Marine Biomes|Ocean Exploration Trust|4|Pacific|7
146|2013|ex1303|/okeanos/explorations/ex1303/welcome.html|NOAA Ship <em>Okeanos Explorer</em>: New England Seamount Chain Exploration|Okeanos|1|Atlantic|4
145|2011|ex1106|/okeanos/explorations/ex1106/welcome.html|Florida Escarpment Expedition 2011|Okeanos|1|Atlantic|4
144|2020|20cascadia-seeps|/explorations/20cascadia-seeps/welcome.html|Gradients of Blue Economic Seep Resources|Federal Funding Opportunity|2|Pacific|3
143|2020|20nautilus|/explorations/20nautilus/welcome.html|E/V <em>Nautilus</em>: 2020 Field Season|Ocean Exploration Trust|4|Pacific|3
142|2020|20wimble-shoals|/explorations/20wimble-shoals/welcome.html|Wimble Shoals: An Exploration and Characterization of Submerged Cultural and Sediment Resources|Federal Funding Opportunity|2|Atlantic|4
141|2020|20blue-holes|/explorations/20blue-holes/welcome.html|Scientists Embark on Journey to the “Deep” to Explore Blue Holes|Federal Funding Opportunity|2|Gulf of Mexico|6
140|2020|20paleolandscapes-gomex|/explorations/20paleolandscapes-gomex/welcome.html|Paleolandscapes of the Gulf of Mexico 2020|Federal Funding Opportunity|2|Gulf of Mexico|6
139|2020|20edna|/explorations/20edna/welcome.html|Exploring Deepwater Ecosystems with eDNA|Federal Funding Opportunity|2|Atlantic|4
138|2020|20fugro|/technology/development-partnerships/20fugro/welcome.html|Innovative Technology and Partnership Leads to New EEZ Mapping|Technology Demonstration|3|Atlantic|4
137|2020|20ancient-forest|/explorations/20ancient-forest/welcome.html|Bioprospecting for Industrial Enzymes and Drug Compounds in an Ancient Submarine Forest|Federal Funding Opportunity|2|Gulf of Mexico|6
136|2020|2020-overview|/okeanos/explorations/2020-overview/welcome.html|NOAA Ship Okeanos Explorer: 2020 Expeditions Overview|Okeanos|1|Atlantic|4
135|2019|ex1907|/okeanos/explorations/ex1907/welcome.html|2019 Southeastern U.S. Deep-sea Exploration - Remotely Operated Vehicle and Mapping Operations|Okeanos|1|Atlantic|4
134|2019|19express|/explorations/19express/welcome.html|Surveying Deep-sea Corals, Sponges, and Fish Habitat|Federal Funding Opportunity|2|Gulf of Mexico|6
133|2019|ex1906|/okeanos/explorations/ex1906/welcome.html|2019 Southeastern U.S. Deep-Sea Exploration - Mapping|Okeanos|1|Atlantic|4
132|2019|19hacon|/explorations/19hacon/welcome.html|HACON: Hot Vents in an Ice-covered Ocean: The Role of the Arctic as a Connectivity Pathway Between Ocean Basins|Federal Funding Opportunity|2|Arctic|1
131|2019|19bear|/explorations/19bear/welcome.html|Search for the U.S. Revenue Cutter Bear|Federal Funding Opportunity|2|Not Specified|7
130|2019|ex1905|/okeanos/explorations/ex1905/welcome.html|Deep Connections 2019|Okeanos|1|Atlantic|4
129|2019|19scattering-layer|/technology/development-partnerships/19scattering-layer/welcome.html|From Aggregations to Individuals: Exploring Migrating Deep-sea Scattering Layers Through Multiscale-multimode Technologies in the Gulf of Mexico|Technology Demonstration|3|Gulf of Mexico|6
128|2019|19finding-boundaries|/explorations/19finding-boundaries/welcome.html|Finding Boundaries in the Deep Sea|Federal Funding Opportunity|2|Pacific|3
127|2019|19gulfofalaska|/explorations/19gulfofalaska/welcome.html|Gulf of Alaska Seamounts 2019|Federal Funding Opportunity|2|Pacific|3
126|2019|ex1904|/technology/development-partnerships/ex1904/welcome.html|2019 Technology Demonstration|Technology Demonstration|3|Atlantic|4
125|2019|19microbial-stowaways|/explorations/19microbial-stowaways/welcome.html|Microbial Stowaways: Exploring Shipwreck Microbiomes in the Deep Gulf of Mexico|Federal Funding Opportunity|2|Not Specified|7
124|2019|19biolum|/explorations/19biolum/welcome.html|Journey into Midnight: Light and Life Below the Twilight Zone|Federal Funding Opportunity|2|Gulf of Mexico|6
123|2019|19paleolandscapes-gomex|/explorations/19paleolandscapes-gomex/welcome.html|Paleolandscapes and the ca. 8,000 BP Shoreline of the Gulf of Mexico Outer Continental Shelf|Federal Funding Opportunity|2|Gulf of Mexico|6
122|2019|ex1903|/okeanos/explorations/ex1903/welcome.html|Windows to the Deep 2019: Exploration of the Deep-sea Habitats of the Southeast United States|Okeanos|1|Atlantic|4
121|2019|ex1902|/okeanos/explorations/ex1902/welcome.html|NOAA Ship <em>Okeanos Explorer</em>: Shakedown and Sea Trials 2019: An Unexpected Shipwreck Discovery|Okeanos|1|Not Specified|7
120|2019|19nautilus|/explorations/19nautilus/welcome.html|E/V <em>Nautilus</em>: 2019 Field Season|Ocean Exploration Trust|4|Pacific|3
119|2019|19coral-connectivity-gomex|/explorations/19coral-connectivity-gomex/welcome.html|Connectivity of Coral Ecosystems (CYCLE) in the Northwestern Gulf of Mexico|Federal Funding Opportunity|2|Gulf of Mexico|6
118|2019|19deepsearch|/explorations/19deepsearch/welcome.html|DEEP SEARCH 2019: DEEP Sea Exploration to Advance Research on Coral/Canyon/Cold seep Habitats|Federal Funding Opportunity|2|Atlantic|4
117|2019|2019-overview|/okeanos/explorations/2019-overview/welcome.html|NOAA Ship Okeanos Explorer: 2019 Expeditions Overview|Okeanos|1|Atlantic|4
116|2018|ex1812|/okeanos/explorations/ex1812/welcome.html|Mapping Deepwater Areas in the Caribbean and South Atlantic Bight|Okeanos|1|Atlantic|4
115|2018|ex1811|/okeanos/explorations/ex1811/welcome.html|Océano Profundo 2018: Exploring Deep-sea Habitats off Puerto Rico and the U.S. Virgin Islands|Okeanos|1|Atlantic|4
114|2018|ex1810|/okeanos/explorations/ex1810/welcome.html|Mapping Deepwater Areas off the Southeast U.S. in Support of the Extended Continental Shelf Project|Okeanos|1|Atlantic|4
113|2018|18subsea|/explorations/18subsea/welcome.html|SUBSEA (Systematic Underwater Biogeochemical Science and Exploration Analog)|Federal Funding Opportunity|2|Pacific|3
112|2018|18deepsearch|/explorations/18deepsearch/welcome.html|Deep Sea Exploration and Research of Coral/Canyon/Cold seep Habitats (DEEP SEARCH)|Federal Funding Opportunity|2|Atlantic|4
111|2018|ex1807|/okeanos/explorations/ex1807/welcome.html|Mapping Deepwater Areas Southeast of Bermuda in Support of the Galway Statement on Atlantic Ocean Cooperation|Okeanos|1|Atlantic|4
110|2018|18kiska|/explorations/18kiska/welcome.html|Kiska: Alaska's Underwater Battlefield|Federal Funding Opportunity|2|Pacific|3
109|2018|aspire|/explorations/aspire/welcome.html|Atlantic Seafloor Partnership for Integrated Research and Exploration: ASPIRE|Federal Funding Opportunity|2|Not Specified|7
108|2018|ex1806|/okeanos/explorations/ex1806/welcome.html|Windows to the Deep 2018: Exploration of the Southeast U.S. Continental Margin|Okeanos|1|Atlantic|4
107|2018|18aviatorsdown|/explorations/18aviatorsdown/welcome.html|Aviators Down|Federal Funding Opportunity|2|Atlantic|4
106|2018|18nautilus|/explorations/18nautilus/welcome.html|E/V <em>Nautilus</em>: 2018 Field Season|Ocean Exploration Trust|4|Pacific|3
