exp_id|topic_id|topic
148|5|Technology
148|4|Seafloor Mapping
148|3|Seeps, Vents, & Volcanoes
148|2|Coral Communities
148|1|Canyon & Seamount Habitats
147|5|Technology
147|4|Seafloor Mapping
147|3|Seeps, Vents, & Volcanoes
147|2|Coral Communities
146|5|Technology
146|4|Seafloor Mapping
145|4|Seafloor Mapping
145|6|Marine Archeaology
145|5|Technology
144|5|Technology
144|3|Seeps, Vents, & Volcanoes
144|1|Canyon & Seamount Habitats
143|6|Marine Archeaology
143|5|Technology
143|4|Seafloor Mapping
143|3|Seeps, Vents, & Volcanoes
143|1|Canyon & Seamount Habitats
143|2|Coral Communities
142|6|Marine Archeaology
142|5|Technology
141|5|Technology
140|6|Marine Archeaology
139|5|Technology
138|5|Technology
137|5|Technology
137|6|Marine Archeaology
136|1|Canyon & Seamount Habitats
136|2|Coral Communities
136|3|Seeps, Vents, & Volcanoes
136|4|Seafloor Mapping
136|5|Technology
136|6|Marine Archeaology
135|1|Canyon & Seamount Habitats
135|2|Coral Communities
135|4|Seafloor Mapping
135|5|Technology
134|2|Coral Communities
134|5|Technology
133|1|Canyon & Seamount Habitats
133|2|Coral Communities
133|4|Seafloor Mapping
133|5|Technology
132|3|Seeps, Vents, & Volcanoes
132|5|Technology
132|7|Arctic
131|4|Seafloor Mapping
131|5|Technology
131|6|Marine Archeaology
130|1|Canyon & Seamount Habitats
130|2|Coral Communities
130|4|Seafloor Mapping
130|5|Technology
130|6|Marine Archeaology
129|5|Technology
128|1|Canyon & Seamount Habitats
128|2|Coral Communities
128|5|Technology
127|1|Canyon & Seamount Habitats
127|7|Arctic
126|4|Seafloor Mapping
126|5|Technology
126|6|Marine Archeaology
125|5|Technology
125|6|Marine Archeaology
124|5|Technology
123|4|Seafloor Mapping
123|5|Technology
123|6|Marine Archeaology
122|1|Canyon & Seamount Habitats
122|2|Coral Communities
122|3|Seeps, Vents, & Volcanoes
122|4|Seafloor Mapping
122|5|Technology
122|6|Marine Archeaology
121|4|Seafloor Mapping
121|5|Technology
121|6|Marine Archeaology
120|1|Canyon & Seamount Habitats
120|2|Coral Communities
120|3|Seeps, Vents, & Volcanoes
120|4|Seafloor Mapping
120|5|Technology
120|6|Marine Archeaology
119|2|Coral Communities
119|5|Technology
118|1|Canyon & Seamount Habitats
118|2|Coral Communities
118|3|Seeps, Vents, & Volcanoes
118|4|Seafloor Mapping
118|5|Technology
117|1|Canyon & Seamount Habitats
117|2|Coral Communities
117|3|Seeps, Vents, & Volcanoes
117|4|Seafloor Mapping
117|5|Technology
117|6|Marine Archeaology
116|4|Seafloor Mapping
116|5|Technology
115|1|Canyon & Seamount Habitats
115|2|Coral Communities
115|3|Seeps, Vents, & Volcanoes
115|4|Seafloor Mapping
115|5|Technology
115|6|Marine Archeaology
114|4|Seafloor Mapping
114|5|Technology
113|1|Canyon & Seamount Habitats
113|3|Seeps, Vents, & Volcanoes
113|5|Technology
112|1|Canyon & Seamount Habitats
112|2|Coral Communities
112|3|Seeps, Vents, & Volcanoes
112|4|Seafloor Mapping
112|5|Technology
111|4|Seafloor Mapping
111|5|Technology
110|5|Technology
110|6|Marine Archeaology
110|7|Arctic
109|1|Canyon & Seamount Habitats
109|2|Coral Communities
109|3|Seeps, Vents, & Volcanoes
109|4|Seafloor Mapping
109|5|Technology
108|1|Canyon & Seamount Habitats
108|2|Coral Communities
108|3|Seeps, Vents, & Volcanoes
108|4|Seafloor Mapping
108|5|Technology
108|6|Marine Archeaology
107|4|Seafloor Mapping
107|5|Technology
107|6|Marine Archeaology
106|1|Canyon & Seamount Habitats
106|2|Coral Communities
106|3|Seeps, Vents, & Volcanoes
106|4|Seafloor Mapping
106|5|Technology
106|6|Marine Archeaology
105|1|Canyon & Seamount Habitats
105|2|Coral Communities
105|4|Seafloor Mapping
105|5|Technology
104|5|Technology
103|2|Coral Communities
103|3|Seeps, Vents, & Volcanoes
103|4|Seafloor Mapping
103|5|Technology
103|6|Marine Archeaology
102|2|Coral Communities
102|5|Technology
102|6|Marine Archeaology
101|2|Coral Communities
101|3|Seeps, Vents, & Volcanoes
101|4|Seafloor Mapping
101|5|Technology
101|6|Marine Archeaology
100|1|Canyon & Seamount Habitats
100|2|Coral Communities
100|3|Seeps, Vents, & Volcanoes
100|4|Seafloor Mapping
100|5|Technology
100|6|Marine Archeaology
99|2|Coral Communities
99|3|Seeps, Vents, & Volcanoes
99|4|Seafloor Mapping
99|5|Technology
99|6|Marine Archeaology
98|1|Canyon & Seamount Habitats
98|4|Seafloor Mapping
98|5|Technology
97|1|Canyon & Seamount Habitats
97|2|Coral Communities
97|3|Seeps, Vents, & Volcanoes
97|5|Technology
96|1|Canyon & Seamount Habitats
96|2|Coral Communities
96|3|Seeps, Vents, & Volcanoes
96|4|Seafloor Mapping
96|5|Technology
95|1|Canyon & Seamount Habitats
95|2|Coral Communities
95|3|Seeps, Vents, & Volcanoes
95|5|Technology
94|1|Canyon & Seamount Habitats
94|4|Seafloor Mapping
94|5|Technology
93|1|Canyon & Seamount Habitats
93|2|Coral Communities
93|4|Seafloor Mapping
93|5|Technology
92|1|Canyon & Seamount Habitats
92|2|Coral Communities
92|3|Seeps, Vents, & Volcanoes
92|4|Seafloor Mapping
92|5|Technology
91|1|Canyon & Seamount Habitats
91|2|Coral Communities
91|3|Seeps, Vents, & Volcanoes
91|4|Seafloor Mapping
91|5|Technology
90|1|Canyon & Seamount Habitats
90|2|Coral Communities
90|3|Seeps, Vents, & Volcanoes
90|4|Seafloor Mapping
90|5|Technology
89|3|Seeps, Vents, & Volcanoes
89|5|Technology
88|5|Technology
88|6|Marine Archeaology
87|1|Canyon & Seamount Habitats
87|2|Coral Communities
87|4|Seafloor Mapping
87|5|Technology
87|6|Marine Archeaology
86|1|Canyon & Seamount Habitats
86|2|Coral Communities
86|4|Seafloor Mapping
86|5|Technology
85|5|Technology
85|6|Marine Archeaology
84|1|Canyon & Seamount Habitats
84|4|Seafloor Mapping
84|5|Technology
83|1|Canyon & Seamount Habitats
83|2|Coral Communities
83|4|Seafloor Mapping
83|5|Technology
82|1|Canyon & Seamount Habitats
82|2|Coral Communities
82|4|Seafloor Mapping
82|5|Technology
81|4|Seafloor Mapping
81|5|Technology
80|4|Seafloor Mapping
80|5|Technology
79|4|Seafloor Mapping
79|5|Technology
78|1|Canyon & Seamount Habitats
78|2|Coral Communities
78|3|Seeps, Vents, & Volcanoes
78|4|Seafloor Mapping
78|5|Technology
77|1|Canyon & Seamount Habitats
77|4|Seafloor Mapping
77|5|Technology
76|1|Canyon & Seamount Habitats
76|2|Coral Communities
76|4|Seafloor Mapping
76|5|Technology
75|5|Technology
75|6|Marine Archeaology
74|1|Canyon & Seamount Habitats
74|2|Coral Communities
74|3|Seeps, Vents, & Volcanoes
74|4|Seafloor Mapping
74|5|Technology
74|6|Marine Archeaology
73|5|Technology
73|7|Arctic
72|1|Canyon & Seamount Habitats
72|2|Coral Communities
72|3|Seeps, Vents, & Volcanoes
72|4|Seafloor Mapping
72|5|Technology
72|6|Marine Archeaology
71|1|Canyon & Seamount Habitats
71|2|Coral Communities
71|3|Seeps, Vents, & Volcanoes
71|4|Seafloor Mapping
71|5|Technology
70|5|Technology
70|6|Marine Archeaology
69|1|Canyon & Seamount Habitats
69|4|Seafloor Mapping
69|5|Technology
68|2|Coral Communities
68|5|Technology
67|1|Canyon & Seamount Habitats
67|2|Coral Communities
67|3|Seeps, Vents, & Volcanoes
67|4|Seafloor Mapping
67|5|Technology
67|6|Marine Archeaology
66|4|Seafloor Mapping
66|5|Technology
65|4|Seafloor Mapping
65|5|Technology
64|1|Canyon & Seamount Habitats
64|2|Coral Communities
64|3|Seeps, Vents, & Volcanoes
64|4|Seafloor Mapping
64|5|Technology
64|6|Marine Archeaology
63|2|Coral Communities
63|5|Technology
62|5|Technology
62|6|Marine Archeaology
62|7|Arctic
61|2|Coral Communities
61|5|Technology
60|2|Coral Communities
60|5|Technology
59|1|Canyon & Seamount Habitats
59|2|Coral Communities
59|3|Seeps, Vents, & Volcanoes
59|4|Seafloor Mapping
59|5|Technology
59|6|Marine Archeaology
58|1|Canyon & Seamount Habitats
58|4|Seafloor Mapping
58|5|Technology
57|1|Canyon & Seamount Habitats
57|4|Seafloor Mapping
57|5|Technology
56|5|Technology
56|7|Arctic
55|4|Seafloor Mapping
55|5|Technology
55|6|Marine Archeaology
54|1|Canyon & Seamount Habitats
54|2|Coral Communities
54|3|Seeps, Vents, & Volcanoes
54|4|Seafloor Mapping
54|5|Technology
54|6|Marine Archeaology
53|1|Canyon & Seamount Habitats
53|4|Seafloor Mapping
53|5|Technology
52|1|Canyon & Seamount Habitats
52|4|Seafloor Mapping
52|5|Technology
51|1|Canyon & Seamount Habitats
51|4|Seafloor Mapping
51|5|Technology
50|1|Canyon & Seamount Habitats
50|2|Coral Communities
50|3|Seeps, Vents, & Volcanoes
50|4|Seafloor Mapping
50|5|Technology
50|6|Marine Archeaology
49|1|Canyon & Seamount Habitats
49|3|Seeps, Vents, & Volcanoes
49|4|Seafloor Mapping
49|5|Technology
48|2|Coral Communities
48|5|Technology
47|1|Canyon & Seamount Habitats
47|2|Coral Communities
